Duration,sex,age,race,race_8_TEXT,pid1,ideo,pol_interest,pres_approval,state,educ,affective_Dem,affective_Rep,china_frenemy,china_threat,china_opp,tool_diplomacy,tool_sanction,tool_assist_c,tool_covertAction,tool_milthreat,tool_milforce,gender,age,hhi,ethnicity,hispanic,education,political_party,region
321,Male,30,White,,Independent / Other,"Moderate, middle of the road",Extremely interested,Neither Approve nor Disapprove,Ohio,4-year college degree,50,54,Friendly,Agree Somewhat,Neither Agree nor Disagree,Neutral,Somewhat Unacceptable,Very Unacceptable,Neutral,Neutral,Very Unacceptable,1,30,7,1,1,6,4,2
833,Male,75,White,,Independent / Other,Conservative,Moderately interested,Approve Strongly,North Carolina,"Some college, but no degree (yet)",12,75,Friendly,Disagree Slightly,Agree Slightly,Somewhat Acceptable,Somewhat Acceptable,Very Unacceptable,Neutral,Very Unacceptable,Very Unacceptable,1,75,-3105,1,1,4,3,3
350,Female,25,Black or African American,,Democrat,"Moderate, middle of the road",Very interested,Disapprove Strongly,Texas,4-year college degree,91,32,Ally,Agree Strongly,Agree Somewhat,Very Acceptable,Somewhat Acceptable,Somewhat Acceptable,Somewhat Acceptable,Somewhat Acceptable,Very Acceptable,2,25,12,2,1,6,2,3
211,Female,31,Hispanic or Latino,,Democrat,Slightly liberal,Not interested at all,Disapprove Strongly,Illinois,"Some college, but no degree (yet)",74,0,Ally,Neither Agree nor Disagree,Neither Agree nor Disagree,Neutral,Neutral,Neutral,Very Unacceptable,Neutral,Neutral,2,31,2,15,2,2,3,2
497,Female,34,Some other race – Type in race,Mixed Race,Democrat,"Moderate, middle of the road",Moderately interested,Disapprove Strongly,California,4-year college degree,100,22,Unfriendly,Agree Somewhat,Agree Somewhat,Very Acceptable,Neutral,Very Unacceptable,Somewhat Acceptable,Neutral,Somewhat Unacceptable,2,34,1,15,2,6,2,4
274,Female,22,White,,Democrat,Liberal,Moderately interested,Disapprove Strongly,Massachusetts,4-year college degree,90,5,Unfriendly,Disagree Somewhat,Disagree Somewhat,Very Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,2,22,3,1,1,6,2,1
305,Female,59,White,,Democrat,Extremely liberal,Extremely interested,Disapprove Strongly,New York,Did not graduate from high school,99,2,Friendly,Disagree Slightly,Agree Somewhat,Very Acceptable,Somewhat Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,2,59,5,1,1,1,1,1
596,Male,29,Black or African American,,Democrat,"Moderate, middle of the road",Moderately interested,Disapprove Strongly,Virginia,High school graduate,91,29,Unfriendly,Neither Agree nor Disagree,Neither Agree nor Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,1,30,18,2,1,2,1,3
1023,Female,33,Black or African American,,Democrat,Slightly liberal,Slightly interested,Disapprove Strongly,North Carolina,4-year college degree,84,10,Unfriendly,Agree Slightly,Disagree Slightly,Neutral,Somewhat Unacceptable,Very Unacceptable,Neutral,Neutral,Neutral,2,33,8,2,1,6,2,3
212,Male,40,White,,Democrat,"Moderate, middle of the road",Moderately interested,Disapprove Strongly,Washington,High school graduate,81,38,Ally,Neither Agree nor Disagree,Neither Agree nor Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,1,40,9,1,1,2,2,4
568,Male,71,White,,Independent / Other,Slightly conservative,Slightly interested,Approve Strongly,Minnesota,2-year college degree,0,95,Unfriendly,Agree Slightly,Agree Somewhat,Very Acceptable,Neutral,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,1,71,3,1,1,4,5,2
604,Female,32,White,,Independent / Other,Liberal,Slightly interested,Disapprove Somewhat,Georgia,"Some college, but no degree (yet)",30,30,Ally,Agree Slightly,Agree Slightly,Somewhat Acceptable,Somewhat Acceptable,Neutral,Neutral,Somewhat Unacceptable,Somewhat Unacceptable,2,32,1,1,1,6,4,3
297,Female,45,Black or African American,,Democrat,Slightly conservative,Not interested at all,Disapprove Strongly,Texas,4-year college degree,100,13,Friendly,Neither Agree nor Disagree,Agree Slightly,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,46,3,15,1,6,1,3
233,Male,21,Black or African American,,Republican,Extremely conservative,Moderately interested,Disapprove Strongly,Tennessee,"Some college, but no degree (yet)",100,100,Friendly,Agree Strongly,Agree Strongly,Somewhat Unacceptable,Very Unacceptable,Neutral,Somewhat Unacceptable,Neutral,Somewhat Unacceptable,1,21,4,2,15,5,10,3
650,Male,50,White,,Democrat,Liberal,Very interested,Disapprove Strongly,Pennsylvania,"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)",83,60,Unfriendly,Agree Somewhat,Agree Slightly,Very Acceptable,Somewhat Acceptable,Neutral,Somewhat Unacceptable,Somewhat Unacceptable,Very Unacceptable,1,50,17,1,1,7,2,1
135,Female,22,White,,Independent / Other,"Moderate, middle of the road",Not interested at all,Neither Approve nor Disapprove,Texas,High school graduate,0,0,Friendly,Neither Agree nor Disagree,Neither Agree nor Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,22,4,1,1,2,7,3
294,Female,33,White,,Independent / Other,"Moderate, middle of the road",Moderately interested,Disapprove Somewhat,New Hampshire,2-year college degree,50,59,Unfriendly,Agree Slightly,Neither Agree nor Disagree,Very Unacceptable,Very Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Very Unacceptable,Somewhat Unacceptable,2,33,10,1,2,4,3,1
342,Female,28,White,,Independent / Other,"Moderate, middle of the road",Moderately interested,Approve Somewhat,Texas,High school graduate,84,96,Enemy,Agree Somewhat,Agree Slightly,Very Acceptable,Somewhat Unacceptable,Neutral,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,2,28,4,1,1,4,5,3
196,Male,37,White,,Democrat,"Moderate, middle of the road",Very interested,Approve Somewhat,Massachusetts,"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)",80,81,Friendly,Agree Slightly,Disagree Somewhat,Neutral,Neutral,Somewhat Unacceptable,Somewhat Acceptable,Neutral,Very Acceptable,1,37,4,1,1,2,1,1
490,Male,39,Black or African American,,Democrat,Liberal,Very interested,Disapprove Strongly,Iowa,High school graduate,51,0,Unfriendly,Agree Strongly,Disagree Somewhat,Very Acceptable,Neutral,Neutral,Somewhat Unacceptable,Neutral,Neutral,1,39,2,2,1,2,1,2
381,Male,20,Black or African American,,Independent / Other,Conservative,Slightly interested,Disapprove Strongly,Arkansas,High school graduate,53,67,Enemy,Agree Slightly,Neither Agree nor Disagree,Somewhat Acceptable,Neutral,Very Unacceptable,Neutral,Somewhat Acceptable,Neutral,1,19,1,2,1,1,4,3
391,Female,47,White,,Republican,Conservative,Not interested at all,Approve Strongly,New Jersey,"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)",9,83,Friendly,Agree Slightly,Neither Agree nor Disagree,Neutral,Very Acceptable,Neutral,Neutral,Neutral,Neutral,2,47,21,1,1,7,10,1
390,Female,50,White,,Democrat,Liberal,Moderately interested,Disapprove Strongly,Iowa,4-year college degree,89,11,Unfriendly,Agree Somewhat,Neither Agree nor Disagree,Very Acceptable,Neutral,Somewhat Unacceptable,Neutral,Neutral,Somewhat Unacceptable,2,51,12,1,1,6,1,2
405,Female,18,White,,Independent / Other,Liberal,Slightly interested,Disapprove Strongly,North Carolina,Did not graduate from high school,77,28,Unfriendly,Neither Agree nor Disagree,Agree Slightly,Very Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Very Unacceptable,Very Unacceptable,2,18,10,15,1,1,3,3
477,Female,36,White,,Independent / Other,Slightly conservative,Moderately interested,Neither Approve nor Disapprove,New York,"Some college, but no degree (yet)",50,50,Friendly,Disagree Somewhat,Agree Slightly,Somewhat Acceptable,Neutral,Somewhat Unacceptable,Neutral,Somewhat Unacceptable,Neutral,2,36,8,1,1,6,4,1
212,Female,22,White,,Democrat,Liberal,Very interested,Disapprove Strongly,Michigan,4-year college degree,78,23,Unfriendly,Agree Slightly,Agree Slightly,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,21,-3105,1,1,6,1,2
1125,Female,48,Black or African American,,Republican,Conservative,Moderately interested,Approve Strongly,Virginia,2-year college degree,0,85,Unfriendly,Agree Somewhat,Neither Agree nor Disagree,Very Acceptable,Very Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Very Unacceptable,2,48,4,2,1,4,10,3
620,Male,47,White,,Republican,"Moderate, middle of the road",Very interested,Approve Strongly,Texas,High school graduate,9,100,Unfriendly,Agree Strongly,Disagree Somewhat,Very Acceptable,Somewhat Acceptable,Very Unacceptable,Neutral,Very Unacceptable,Very Unacceptable,1,47,3,1,1,2,9,3
350,Female,18,White,,Independent / Other,"Moderate, middle of the road",Moderately interested,Neither Approve nor Disapprove,Ohio,High school graduate,50,50,Friendly,Neither Agree nor Disagree,Neither Agree nor Disagree,Neutral,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Very Unacceptable,2,18,3,1,1,2,4,2
381,Female,30,White,,Democrat,Slightly conservative,Moderately interested,Approve Strongly,Tennessee,2-year college degree,80,20,Friendly,Disagree Slightly,Agree Slightly,Very Acceptable,Very Unacceptable,Neutral,Very Unacceptable,Very Unacceptable,Very Unacceptable,2,30,11,1,1,4,2,3
362,Female,19,White,,Independent / Other,"Moderate, middle of the road",Not interested at all,Disapprove Strongly,Florida,High school graduate,7,5,Ally,Agree Slightly,Agree Slightly,Somewhat Acceptable,Very Unacceptable,Somewhat Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,2,19,15,1,1,2,4,3
388,Female,36,White,,Democrat,Liberal,Moderately interested,Disapprove Strongly,Texas,4-year college degree,89,13,Friendly,Agree Somewhat,Agree Slightly,Somewhat Acceptable,Somewhat Acceptable,Somewhat Unacceptable,Somewhat Acceptable,Neutral,Somewhat Acceptable,2,36,15,1,1,6,2,3
454,Female,42,White,,Independent / Other,Conservative,Moderately interested,Neither Approve nor Disapprove,Tennessee,2-year college degree,21,21,Enemy,Disagree Somewhat,Agree Slightly,Somewhat Acceptable,Somewhat Acceptable,Somewhat Unacceptable,Somewhat Acceptable,Somewhat Acceptable,Neutral,2,42,9,1,1,6,7,3
346,Male,33,White,,Republican,"Moderate, middle of the road",Moderately interested,Approve Somewhat,Indiana,4-year college degree,36,54,Friendly,Agree Somewhat,Agree Slightly,Neutral,Somewhat Unacceptable,Somewhat Unacceptable,Neutral,Very Unacceptable,Somewhat Unacceptable,1,33,17,1,1,6,9,2
313,Male,45,Asian or Asian American,,Republican,"Moderate, middle of the road",Not interested at all,Neither Approve nor Disapprove,California,4-year college degree,73,73,Unfriendly,Agree Somewhat,Agree Somewhat,Somewhat Acceptable,Somewhat Acceptable,Somewhat Acceptable,Somewhat Acceptable,Somewhat Acceptable,Somewhat Acceptable,1,45,11,7,1,6,9,4
246,Male,39,Black or African American,,Democrat,Liberal,Very interested,Disapprove Strongly,Texas,High school graduate,62,71,Unfriendly,Agree Slightly,Agree Slightly,Neutral,Neutral,Somewhat Unacceptable,Neutral,Neutral,Neutral,1,39,1,2,1,2,2,3
349,Female,23,Hispanic or Latino,,Independent / Other,"Moderate, middle of the road",Moderately interested,Disapprove Strongly,Texas,2-year college degree,49,48,Unfriendly,Agree Slightly,Agree Slightly,Very Acceptable,Somewhat Acceptable,Somewhat Acceptable,Neutral,Somewhat Unacceptable,Somewhat Unacceptable,2,24,1,15,2,4,4,3
682,Female,35,White,,Democrat,"Moderate, middle of the road",Moderately interested,Disapprove Somewhat,Texas,"Some college, but no degree (yet)",87,37,Friendly,Disagree Strongly,Agree Somewhat,Somewhat Acceptable,Somewhat Unacceptable,Very Unacceptable,Neutral,Very Unacceptable,Very Unacceptable,2,35,1,1,1,6,2,3
306,Female,31,White,,Republican,Conservative,Very interested,Disapprove Strongly,South Carolina,"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)",51,52,Friendly,Disagree Somewhat,Neither Agree nor Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,31,5,1,1,7,9,3
396,Female,32,White,,Independent / Other,"Moderate, middle of the road",Not interested at all,Approve Strongly,North Carolina,High school graduate,4,87,Unfriendly,Agree Somewhat,Disagree Somewhat,Very Acceptable,Very Acceptable,Very Unacceptable,Very Unacceptable,Somewhat Acceptable,Somewhat Acceptable,2,32,1,1,1,2,5,3
743,Female,54,White,,Democrat,"Moderate, middle of the road",Very interested,Disapprove Strongly,North Carolina,2-year college degree,87,23,Unfriendly,Neither Agree nor Disagree,Agree Slightly,Somewhat Acceptable,Neutral,Neutral,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,2,54,3,1,1,4,1,3
331,Male,22,Black or African American,,Independent / Other,Liberal,Moderately interested,Disapprove Strongly,Florida,High school graduate,50,0,Friendly,Neither Agree nor Disagree,Neither Agree nor Disagree,Neutral,Neutral,Very Unacceptable,Neutral,Very Unacceptable,Very Unacceptable,1,22,6,2,1,2,4,3
609,Female,44,White,,Republican,"Moderate, middle of the road",Extremely interested,Approve Somewhat,North Carolina,2-year college degree,36,63,Unfriendly,Agree Somewhat,Neither Agree nor Disagree,Very Acceptable,Somewhat Acceptable,Somewhat Unacceptable,Somewhat Acceptable,Neutral,Neutral,2,44,7,1,1,4,9,3
377,Female,22,Black or African American,,Republican,Slightly conservative,Extremely interested,Approve Strongly,North Carolina,High school graduate,100,100,Friendly,Disagree Strongly,Agree Strongly,Very Acceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,2,22,1,2,1,2,10,3
339,Female,67,White,,Independent / Other,Slightly conservative,Slightly interested,Disapprove Somewhat,Vermont,"Some college, but no degree (yet)",9,10,Unfriendly,Agree Slightly,Agree Slightly,Somewhat Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,2,67,6,1,1,6,4,1
624,Male,37,White,,Republican,Conservative,Slightly interested,Approve Strongly,Idaho,"Some college, but no degree (yet)",0,80,Unfriendly,Agree Slightly,Agree Strongly,Somewhat Acceptable,Somewhat Acceptable,Very Unacceptable,Very Unacceptable,Neutral,Neutral,1,36,1,1,1,6,10,4
327,Female,37,White,,Democrat,"Moderate, middle of the road",Very interested,Disapprove Strongly,Illinois,"Some college, but no degree (yet)",85,15,Ally,Disagree Somewhat,Agree Somewhat,Somewhat Unacceptable,Somewhat Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,2,37,19,1,1,4,1,2
273,Male,20,White,,Democrat,"Moderate, middle of the road",Moderately interested,Disapprove Strongly,California,High school graduate,69,31,Unfriendly,Agree Slightly,Agree Slightly,Somewhat Acceptable,Neutral,Neutral,Somewhat Acceptable,Neutral,Neutral,1,20,3,4,1,6,2,4
860,Female,52,White,,Democrat,"Moderate, middle of the road",Very interested,Disapprove Strongly,Florida,"Some college, but no degree (yet)",18,100,Unfriendly,Agree Strongly,Neither Agree nor Disagree,Neutral,Very Unacceptable,Very Unacceptable,Very Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,2,52,5,1,1,2,1,3
1304,Male,54,Black or African American,,Democrat,Liberal,Slightly interested,Disapprove Somewhat,New York,High school graduate,98,45,Unfriendly,Agree Strongly,Disagree Somewhat,Neutral,Very Acceptable,Neutral,Very Acceptable,Very Acceptable,Neutral,1,54,1,2,1,2,1,1
1252,Female,46,White,,Independent / Other,"Moderate, middle of the road",Moderately interested,Approve Somewhat,Florida,"Some college, but no degree (yet)",20,20,Friendly,Agree Somewhat,Neither Agree nor Disagree,Very Acceptable,Very Acceptable,Very Unacceptable,Somewhat Unacceptable,Neutral,Neutral,2,46,2,1,1,6,5,3
355,Female,29,White,,Democrat,Liberal,Very interested,Disapprove Strongly,North Carolina,"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)",82,18,Unfriendly,Neither Agree nor Disagree,Agree Slightly,Very Acceptable,Somewhat Unacceptable,Very Unacceptable,Very Unacceptable,Somewhat Unacceptable,Very Unacceptable,2,29,6,1,1,7,1,3
756,Male,49,White,,Republican,Conservative,Slightly interested,Approve Strongly,Pennsylvania,High school graduate,24,71,Ally,Neither Agree nor Disagree,Neither Agree nor Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,1,49,8,1,1,2,10,1
264,Male,28,White,,Independent / Other,Extremely conservative,Not interested at all,Disapprove Strongly,Maine,Did not graduate from high school,26,27,Friendly,Agree Strongly,Agree Somewhat,Neutral,Somewhat Unacceptable,Somewhat Unacceptable,Neutral,Neutral,Somewhat Unacceptable,1,28,1,1,1,2,7,1
573,Female,41,White,,Democrat,Extremely liberal,Very interested,Disapprove Strongly,Indiana,"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)",100,11,Unfriendly,Disagree Somewhat,Agree Slightly,Very Acceptable,Somewhat Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,2,41,19,1,1,8,1,2
453,Female,40,Hispanic or Latino,,Democrat,"Moderate, middle of the road",Moderately interested,Disapprove Strongly,New York,High school graduate,74,0,Enemy,Agree Strongly,Disagree Strongly,Very Unacceptable,Neutral,Very Unacceptable,Very Unacceptable,Very Acceptable,Very Acceptable,2,40,1,15,2,2,7,1
416,Female,31,White,,Independent / Other,"Moderate, middle of the road",Slightly interested,Neither Approve nor Disapprove,Oregon,"Some college, but no degree (yet)",0,32,Friendly,Neither Agree nor Disagree,Neither Agree nor Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,31,1,1,1,4,7,4
631,Male,18,White,,Republican,Liberal,Moderately interested,Approve Somewhat,California,"Some college, but no degree (yet)",19,100,Enemy,Agree Strongly,Disagree Somewhat,Neutral,Somewhat Unacceptable,Somewhat Unacceptable,Very Unacceptable,Somewhat Acceptable,Neutral,1,20,1,1,3,4,10,4
322,Male,36,Asian or Asian American,,Democrat,"Moderate, middle of the road",Extremely interested,Disapprove Strongly,Ohio,"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)",98,5,Unfriendly,Agree Somewhat,Disagree Somewhat,Very Acceptable,Neutral,Very Unacceptable,Very Acceptable,Very Unacceptable,Very Unacceptable,1,36,9,4,1,7,1,2
443,Female,23,Asian or Asian American,,Democrat,Slightly liberal,Moderately interested,Neither Approve nor Disapprove,California,4-year college degree,70,40,Unfriendly,Neither Agree nor Disagree,Agree Slightly,Very Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Very Unacceptable,2,23,5,7,1,6,2,4
641,Female,31,White,,Democrat,Liberal,Moderately interested,Disapprove Strongly,Washington,"Some college, but no degree (yet)",73,22,Ally,Neither Agree nor Disagree,Agree Somewhat,Very Acceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,2,31,13,1,1,4,3,4
983,Female,66,White,,Republican,Conservative,Extremely interested,Approve Strongly,New York,"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)",0,62,Unfriendly,Disagree Slightly,Disagree Somewhat,Neutral,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Acceptable,Very Unacceptable,Very Unacceptable,1,87,18,1,1,4,10,1
215,Female,39,White,,Democrat,Liberal,Very interested,Disapprove Strongly,Michigan,2-year college degree,100,0,Unfriendly,Agree Slightly,Disagree Somewhat,Very Acceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,2,39,7,1,1,4,1,1
262,Female,33,White,,Democrat,Liberal,Moderately interested,Neither Approve nor Disapprove,Georgia,Did not graduate from high school,84,65,Friendly,Disagree Slightly,Disagree Slightly,Very Unacceptable,Somewhat Acceptable,Somewhat Unacceptable,Neutral,Very Acceptable,Very Unacceptable,2,33,1,1,1,2,1,3
400,Male,29,Black or African American,,Democrat,Liberal,Moderately interested,Disapprove Somewhat,Louisiana,High school graduate,62,26,Ally,Disagree Slightly,Agree Slightly,Neutral,Somewhat Unacceptable,Neutral,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,1,29,1,2,1,2,5,3
385,Female,34,Black or African American,,Democrat,Extremely liberal,Not interested at all,Disapprove Strongly,Georgia,"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)",50,0,Friendly,Disagree Slightly,Agree Slightly,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,34,6,2,1,7,1,3
673,Female,23,Black or African American,,Republican,Liberal,Moderately interested,Approve Strongly,Georgia,High school graduate,60,91,Enemy,Agree Strongly,Agree Strongly,Somewhat Acceptable,Somewhat Unacceptable,Very Unacceptable,Somewhat Acceptable,Very Acceptable,Very Unacceptable,2,23,1,2,1,1,2,3
549,Male,49,White,,Republican,Conservative,Moderately interested,Approve Somewhat,Texas,4-year college degree,1,77,Unfriendly,Agree Strongly,Agree Slightly,Somewhat Acceptable,Very Acceptable,Very Unacceptable,Very Acceptable,Neutral,Somewhat Unacceptable,1,49,19,1,1,6,10,3
722,Female,30,White,,Independent / Other,"Moderate, middle of the road",Slightly interested,Disapprove Strongly,New Jersey,"Some college, but no degree (yet)",50,50,Enemy,Agree Strongly,Neither Agree nor Disagree,Very Acceptable,Somewhat Acceptable,Neutral,Neutral,Very Unacceptable,Neutral,2,30,19,1,1,6,4,1
673,Female,54,Hispanic or Latino,,Democrat,Liberal,Moderately interested,Disapprove Strongly,New York,High school graduate,86,100,Enemy,Agree Strongly,Agree Strongly,Somewhat Acceptable,Somewhat Acceptable,Very Unacceptable,Somewhat Unacceptable,Very Acceptable,Very Acceptable,2,54,1,15,15,2,2,1
294,Female,39,White,,Democrat,Liberal,Very interested,Disapprove Somewhat,Illinois,"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)",85,70,Friendly,Neither Agree nor Disagree,Agree Slightly,Neutral,Somewhat Unacceptable,Very Unacceptable,Neutral,Neutral,Very Unacceptable,2,40,18,1,1,7,1,2
413,Female,41,White,,Republican,Liberal,Very interested,Disapprove Strongly,Ohio,High school graduate,73,43,Friendly,Disagree Slightly,Agree Somewhat,Very Acceptable,Very Acceptable,Very Unacceptable,Neutral,Very Unacceptable,Very Unacceptable,2,41,1,1,1,2,10,2
1183,Female,38,Hispanic or Latino,,Democrat,Liberal,Very interested,Disapprove Strongly,Massachusetts,2-year college degree,100,0,Ally,Agree Strongly,Agree Strongly,Very Acceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,2,38,11,15,14,5,1,1
928,Female,67,White,,Republican,Extremely conservative,Extremely interested,Approve Strongly,California,"Some college, but no degree (yet)",0,96,Unfriendly,Agree Strongly,Agree Slightly,Very Acceptable,Very Acceptable,Somewhat Acceptable,Somewhat Acceptable,Somewhat Acceptable,Somewhat Acceptable,2,67,5,1,1,4,10,4
245,Female,37,White,,Independent / Other,"Moderate, middle of the road",Not interested at all,Neither Approve nor Disapprove,Missouri,"Some college, but no degree (yet)",52,51,Unfriendly,Neither Agree nor Disagree,Neither Agree nor Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,37,3,1,2,4,7,2
325,Female,30,White,,Republican,Slightly conservative,Moderately interested,Neither Approve nor Disapprove,Ohio,4-year college degree,13,97,Ally,Neither Agree nor Disagree,Agree Slightly,Somewhat Acceptable,Neutral,Neutral,Somewhat Unacceptable,Neutral,Neutral,2,30,4,1,1,6,9,2
371,Female,36,White,,Democrat,"Moderate, middle of the road",Moderately interested,Disapprove Strongly,Iowa,"Some college, but no degree (yet)",100,47,Friendly,Disagree Strongly,Agree Strongly,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,2,36,3,1,2,6,1,2
278,Female,48,White,,Independent / Other,"Moderate, middle of the road",Not interested at all,Disapprove Somewhat,Arizona,4-year college degree,19,19,Friendly,Disagree Strongly,Neither Agree nor Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,48,3,1,1,6,4,4
489,Female,38,White,,Independent / Other,Conservative,Not interested at all,Approve Strongly,Arkansas,High school graduate,7,93,Ally,Neither Agree nor Disagree,Agree Slightly,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,38,14,1,1,2,5,3
430,Male,35,Hispanic or Latino,,Independent / Other,Liberal,Not interested at all,Disapprove Strongly,North Carolina,High school graduate,9,32,Friendly,Agree Slightly,Neither Agree nor Disagree,Somewhat Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Very Unacceptable,Somewhat Unacceptable,1,34,4,1,2,2,4,3
130,Male,25,Asian or Asian American,,Democrat,Liberal,Very interested,Approve Somewhat,California,4-year college degree,62,66,Enemy,Agree Slightly,Disagree Somewhat,Somewhat Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,Neutral,Somewhat Acceptable,Somewhat Unacceptable,1,25,11,4,1,6,2,4
497,Female,27,White,,Republican,Slightly conservative,Moderately interested,Disapprove Somewhat,Florida,High school graduate,23,25,Enemy,Agree Strongly,Agree Slightly,Very Acceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Somewhat Unacceptable,Neutral,2,27,12,1,1,2,9,3
488,Female,24,White,,Independent / Other,Extremely conservative,Slightly interested,Disapprove Strongly,Ohio,High school graduate,0,0,Enemy,Neither Agree nor Disagree,Disagree Strongly,Very Acceptable,Somewhat Unacceptable,Very Unacceptable,Neutral,Neutral,Neutral,2,24,1,1,1,2,4,2
333,Female,24,Black or African American,,Democrat,Liberal,Very interested,Disapprove Somewhat,Texas,"Some college, but no degree (yet)",90,30,Unfriendly,Agree Somewhat,Disagree Somewhat,Very Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,Very Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,2,25,7,4,1,6,1,3
1211,Female,52,White,,Independent / Other,"Moderate, middle of the road",Slightly interested,Disapprove Strongly,New Jersey,"Some college, but no degree (yet)",73,53,Friendly,Disagree Somewhat,Agree Slightly,Very Acceptable,Somewhat Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,2,51,8,1,1,4,3,1
803,Female,50,White,,Republican,Conservative,Moderately interested,Approve Somewhat,Wisconsin,"Some college, but no degree (yet)",23,100,Enemy,Agree Somewhat,Neither Agree nor Disagree,Somewhat Acceptable,Somewhat Acceptable,Somewhat Unacceptable,Neutral,Neutral,Neutral,2,50,15,1,1,4,10,2
272,Female,26,White,,Republican,"Moderate, middle of the road",Extremely interested,Approve Strongly,Florida,4-year college degree,0,100,Unfriendly,Agree Slightly,Agree Slightly,Somewhat Unacceptable,Somewhat Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Neutral,2,26,3,1,1,6,10,3
573,Male,32,White,,Republican,Conservative,Moderately interested,Approve Somewhat,Colorado,2-year college degree,13,89,Unfriendly,Agree Somewhat,Agree Strongly,Very Acceptable,Somewhat Acceptable,Neutral,Very Unacceptable,Very Unacceptable,Somewhat Unacceptable,2,32,7,1,1,5,10,4
179,Male,21,Hispanic or Latino,,Republican,Conservative,Extremely interested,Approve Strongly,Florida,High school graduate,77,77,Unfriendly,Agree Slightly,Disagree Somewhat,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,1,21,2,15,2,2,5,3
660,Female,44,Black or African American,,Independent / Other,"Moderate, middle of the road",Very interested,Disapprove Strongly,Louisiana,"Some college, but no degree (yet)",80,40,Unfriendly,Agree Somewhat,Agree Slightly,Very Acceptable,Somewhat Acceptable,Very Unacceptable,Very Unacceptable,Neutral,Somewhat Unacceptable,2,43,9,2,1,6,3,3
